gamma,session_num,elapse_minute_rounded,half
0.5559210526315788,0.0,0,0.0
0.4342857142857143,0.0,0,0.0
1.0,0.0,0,0.0
0.2783882783882784,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
0.2783882783882784,0.0,1,0.0
0.4342857142857143,0.0,2,0.0
1.0,0.0,2,0.0
0.20485175202156333,0.0,3,0.0
0.4342857142857143,0.0,3,0.0
0.4342857142857143,0.0,3,0.0
0.2783882783882784,0.0,4,0.0
1.0,0.0,4,0.0
1.0,0.0,4,1.0
0.4342857142857143,0.0,5,1.0
0.4342857142857143,0.0,5,1.0
1.0,0.0,5,1.0
1.0,0.0,5,1.0
0.2773722627737226,0.0,6,1.0
1.0,0.0,6,1.0
0.20485175202156333,0.0,7,1.0
1.0,0.0,7,1.0
1.0,0.0,7,1.0
1.0,0.0,7,1.0
1.0,0.0,7,1.0
1.0,0.0,7,1.0
1.0,0.0,7,1.0
0.4342857142857143,0.0,8,1.0
1.0,0.0,8,1.0
1.0,0.0,8,1.0
0.4342857142857143,0.0,8,1.0
0.4342857142857143,0.0,9,1.0
1.0,0.0,9,1.0
1.0,0.0,9,1.0
1.0,0.0,9,1.0
1.0,0.0,9,1.0
1.0,0.0,9,1.0
0.4342857142857143,0.0,10,1.0
0.16170212765957448,0.0,11,1.0
0.4342857142857143,0.0,11,1.0
1.0,0.0,11,1.0
0.2783882783882784,0.0,12,1.0
0.2783882783882784,0.0,12,1.0
1.0,0.0,12,1.0
0.20485175202156333,0.0,13,1.0
0.4342857142857143,0.0,13,1.0
1.0,0.0,14,1.0
1.0,0.0,14,1.0
1.0,0.0,14,1.0
1.0,0.0,14,1.0
0.4342857142857143,0.0,14,1.0
0.4342857142857143,0.0,15,1.0
1.0,0.0,15,1.0
0.4342857142857143,0.0,15,1.0
0.4342857142857143,0.0,16,1.0
1.0,0.0,16,1.0
0.4342857142857143,0.0,16,1.0
1.0,0.0,16,1.0
1.0,0.0,16,1.0
0.20485175202156333,0.0,17,1.0
0.2783882783882784,0.0,18,1.0
0.4342857142857143,0.0,18,1.0
1.0,0.0,18,1.0
1.0,0.0,18,1.0
0.4342857142857143,0.0,19,1.0
1.0,0.0,19,1.0
1.0,0.0,19,1.0
0.4342857142857143,0.0,19,1.0
0.4342857142857143,0.0,20,1.0
0.5559210526315788,1.0,0,0.0
0.4342857142857143,1.0,0,0.0
1.0,1.0,0,0.0
1.0,1.0,0,0.0
0.2783882783882784,1.0,1,0.0
1.0,1.0,1,0.0
1.0,1.0,1,0.0
1.0,1.0,1,0.0
1.0,1.0,1,0.0
1.0,1.0,1,0.0
1.0,1.0,1,0.0
1.0,1.0,2,0.0
1.0,1.0,2,0.0
0.4342857142857143,1.0,2,0.0
0.4342857142857143,1.0,2,0.0
0.08826945412311266,1.0,4,0.0
0.4342857142857143,1.0,4,0.0
1.0,1.0,4,1.0
0.2773722627737226,1.0,5,1.0
0.4342857142857143,1.0,5,1.0
0.4342857142857143,1.0,5,1.0
1.0,1.0,6,1.0
1.0,1.0,6,1.0
0.2783882783882784,1.0,6,1.0
0.2783882783882784,1.0,7,1.0
1.0,1.0,7,1.0
0.2783882783882784,1.0,7,1.0
1.0,1.0,7,1.0
0.4342857142857143,1.0,8,1.0
0.4342857142857143,1.0,8,1.0
0.2783882783882784,1.0,8,1.0
0.2783882783882784,1.0,9,1.0
0.4342857142857143,1.0,9,1.0
1.0,1.0,9,1.0
0.4342857142857143,1.0,10,1.0
1.0,1.0,10,1.0
1.0,1.0,10,1.0
0.4342857142857143,1.0,10,1.0
1.0,1.0,10,1.0
0.4342857142857143,1.0,11,1.0
0.09960681520314547,1.0,12,1.0
0.2783882783882784,1.0,12,1.0
1.0,1.0,13,1.0
0.20485175202156333,1.0,13,1.0
0.4342857142857143,1.0,14,1.0
1.0,1.0,14,1.0
1.0,1.0,14,1.0
1.0,1.0,14,1.0
1.0,1.0,14,1.0
0.2783882783882784,1.0,15,1.0
1.0,1.0,15,1.0
1.0,1.0,15,1.0
1.0,1.0,15,1.0
1.0,1.0,15,1.0
0.4342857142857143,1.0,15,1.0
0.4342857142857143,1.0,16,1.0
1.0,1.0,16,1.0
1.0,1.0,16,1.0
0.16204690831556504,1.0,17,1.0
0.4342857142857143,1.0,17,1.0
1.0,1.0,17,1.0
1.0,1.0,17,1.0
0.4342857142857143,1.0,18,1.0
0.4342857142857143,1.0,18,1.0
0.4342857142857143,1.0,18,1.0
1.0,1.0,18,1.0
1.0,1.0,19,1.0
1.0,1.0,19,1.0
0.4342857142857143,1.0,19,1.0
0.2783882783882784,1.0,20,1.0
0.24142857142857138,2.0,0,0.0
1.0,2.0,0,0.0
1.0,2.0,0,0.0
0.4342857142857143,2.0,0,0.0
0.4342857142857143,2.0,1,0.0
1.0,2.0,1,0.0
0.4342857142857143,2.0,1,0.0
0.20485175202156333,2.0,2,0.0
0.4342857142857143,2.0,2,0.0
1.0,2.0,2,0.0
1.0,2.0,3,0.0
1.0,2.0,3,0.0
1.0,2.0,3,0.0
0.4342857142857143,2.0,3,0.0
0.2783882783882784,2.0,4,0.0
1.0,2.0,4,0.0
1.0,2.0,4,0.0
0.4342857142857143,2.0,4,1.0
1.0,2.0,5,1.0
1.0,2.0,5,1.0
1.0,2.0,5,1.0
0.4342857142857143,2.0,5,1.0
1.0,2.0,5,1.0
0.2783882783882784,2.0,6,1.0
0.2783882783882784,2.0,6,1.0
0.4342857142857143,2.0,7,1.0
1.0,2.0,7,1.0
1.0,2.0,7,1.0
1.0,2.0,7,1.0
1.0,2.0,7,1.0
0.4342857142857143,2.0,8,1.0
0.4342857142857143,2.0,8,1.0
1.0,2.0,8,1.0
0.2783882783882784,2.0,9,1.0
1.0,2.0,9,1.0
1.0,2.0,9,1.0
0.4342857142857143,2.0,9,1.0
1.0,2.0,9,1.0
0.16204690831556504,2.0,10,1.0
1.0,2.0,10,1.0
1.0,2.0,11,1.0
0.4342857142857143,2.0,11,1.0
1.0,2.0,11,1.0
0.2783882783882784,2.0,12,1.0
0.4342857142857143,2.0,12,1.0
0.4342857142857143,2.0,12,1.0
1.0,2.0,12,1.0
0.2783882783882784,2.0,13,1.0
1.0,2.0,13,1.0
1.0,2.0,13,1.0
1.0,2.0,13,1.0
1.0,2.0,13,1.0
0.2783882783882784,2.0,14,1.0
1.0,2.0,14,1.0
0.4342857142857143,2.0,14,1.0
0.4342857142857143,2.0,15,1.0
0.4342857142857143,2.0,15,1.0
1.0,2.0,15,1.0
0.4342857142857143,2.0,16,1.0
0.4342857142857143,2.0,16,1.0
0.4342857142857143,2.0,16,1.0
1.0,2.0,16,1.0
0.4342857142857143,2.0,17,1.0
0.20485175202156333,2.0,17,1.0
0.4342857142857143,2.0,18,1.0
1.0,2.0,18,1.0
1.0,2.0,18,1.0
0.4342857142857143,2.0,18,1.0
1.0,2.0,19,1.0
0.16204690831556504,2.0,20,1.0
0.24142857142857138,3.0,0,0.0
1.0,3.0,0,0.0
