hit_count,session_num,elapse_minute_rounded,half
2.0,11.0,0,0.0
0.0,11.0,0,0.0
0.0,11.0,0,0.0
0.0,11.0,0,0.0
3.0,11.0,1,0.0
0.0,11.0,1,0.0
0.0,11.0,1,0.0
0.0,11.0,1,0.0
1.0,11.0,1,0.0
0.0,11.0,1,0.0
0.0,11.0,1,0.0
5.0,11.0,2,0.0
1.0,11.0,2,0.0
0.0,11.0,2,0.0
0.0,11.0,3,0.0
4.0,11.0,3,0.0
0.0,11.0,3,0.0
1.0,11.0,4,0.0
1.0,11.0,4,1.0
6.0,11.0,5,1.0
0.0,11.0,5,1.0
1.0,11.0,5,1.0
0.0,11.0,5,1.0
0.0,11.0,5,1.0
2.0,11.0,6,1.0
0.0,11.0,6,1.0
2.0,11.0,6,1.0
1.0,11.0,6,1.0
3.0,11.0,7,1.0
0.0,11.0,7,1.0
4.0,11.0,7,1.0
2.0,11.0,8,1.0
2.0,11.0,8,1.0
1.0,11.0,8,1.0
0.0,11.0,9,1.0
6.0,11.0,9,1.0
4.0,11.0,10,1.0
0.0,11.0,10,1.0
2.0,11.0,10,1.0
0.0,11.0,11,1.0
1.0,11.0,11,1.0
0.0,11.0,11,1.0
2.0,11.0,11,1.0
0.0,11.0,11,1.0
1.0,11.0,12,1.0
1.0,11.0,12,1.0
0.0,11.0,12,1.0
8.0,11.0,13,1.0
0.0,11.0,13,1.0
2.0,11.0,14,1.0
1.0,11.0,14,1.0
1.0,11.0,14,1.0
1.0,11.0,14,1.0
0.0,11.0,14,1.0
1.0,11.0,15,1.0
1.0,11.0,15,1.0
1.0,11.0,15,1.0
2.0,11.0,15,1.0
0.0,11.0,16,1.0
1.0,11.0,16,1.0
2.0,11.0,16,1.0
0.0,11.0,16,1.0
0.0,11.0,16,1.0
1.0,11.0,17,1.0
7.0,11.0,18,1.0
2.0,11.0,18,1.0
6.0,11.0,19,1.0
0.0,11.0,19,1.0
0.0,11.0,19,1.0
3.0,11.0,20,1.0
