hit_count,session_num,elapse_minute_rounded,half
3.0,75.0,0,0.0
0.0,75.0,0,0.0
0.0,75.0,0,0.0
2.0,75.0,1,0.0
1.0,75.0,1,0.0
1.0,75.0,1,0.0
0.0,75.0,1,0.0
0.0,75.0,1,0.0
1.0,75.0,2,0.0
0.0,75.0,2,0.0
1.0,75.0,2,0.0
1.0,75.0,2,0.0
2.0,75.0,3,0.0
0.0,75.0,3,0.0
1.0,75.0,3,0.0
0.0,75.0,3,0.0
0.0,75.0,3,0.0
1.0,75.0,3,0.0
2.0,75.0,4,0.0
1.0,75.0,4,1.0
2.0,75.0,5,1.0
2.0,75.0,5,1.0
1.0,75.0,5,1.0
2.0,75.0,6,1.0
0.0,75.0,6,1.0
0.0,75.0,6,1.0
2.0,75.0,6,1.0
2.0,75.0,7,1.0
0.0,75.0,7,1.0
2.0,75.0,7,1.0
0.0,75.0,7,1.0
1.0,75.0,7,1.0
0.0,75.0,8,1.0
1.0,75.0,8,1.0
0.0,75.0,8,1.0
0.0,75.0,8,1.0
4.0,75.0,9,1.0
0.0,75.0,9,1.0
1.0,75.0,9,1.0
1.0,75.0,9,1.0
0.0,75.0,9,1.0
1.0,75.0,10,1.0
0.0,75.0,10,1.0
0.0,75.0,10,1.0
3.0,75.0,10,1.0
0.0,75.0,11,1.0
2.0,75.0,11,1.0
1.0,75.0,11,1.0
0.0,75.0,11,1.0
0.0,75.0,11,1.0
0.0,75.0,12,1.0
0.0,75.0,12,1.0
4.0,75.0,12,1.0
3.0,75.0,13,1.0
1.0,75.0,13,1.0
0.0,75.0,13,1.0
0.0,75.0,13,1.0
0.0,75.0,13,1.0
0.0,75.0,14,1.0
1.0,75.0,14,1.0
0.0,75.0,14,1.0
1.0,75.0,14,1.0
0.0,75.0,14,1.0
8.0,75.0,16,1.0
0.0,75.0,16,1.0
13.0,75.0,18,1.0
0.0,75.0,18,1.0
2.0,75.0,18,1.0
8.0,75.0,19,1.0
0.0,75.0,20,1.0
